Spelling,MS_form,Morpheme,Text_ID,Year,County
quh,quheit,wheat,350,1489,AGS
quh,quhet,wheat,704,1486,FIF
quh,quhet,wheat,1687,1449,ABD
quh,quhet,wheat,1042,1436,AYR
quh,quhet,wheat,1209,1460,FIF
quh,quhete,wheat,350,1489,AGS
quh,quhete,wheat,236,1440,FIF
quh,quhete,wheat,236,1440,FIF
quh,quhete,wheat,1675,1447,ABD
quh,quhete,wheat,1675,1447,ABD
quh,quhete,wheat,1675,1447,ABD
quh,quhete,wheat,1675,1447,ABD
quh,quhete,wheat,1675,1447,ABD
q,qete,wheat,1255,1466,FIF
quh,quheyt,wheat,1217,1461,FIF
quh,quheyt,wheat,1217,1461,FIF
qw,qwete,wheat,141,1448,WLO
qw,qweyte,wheat,386,1482,AGS
qwh,qwheit,wheat,839,1490,ROX
qwh,qwhet,wheat,1254,1466,FIF
quh,quhete,wheat,1794,1461,ABD
quh,quhit,white,1272,1480,FIF
quh,quhit,white,9522,1484,XAP
quh,quhit,white,9524,1484,XAP
quh,quhite,white,269,1484,XST
qv,qvyt,white,134,1460,WLO
qwh,qwhit,white,287,1459,AGS
qw,qwyt,white,165,1420,ROX
quh,quheit,white,337,0,AGS
quh,quhit(),white,342,1458,AGS
quh,quhyt,white,339,1493,AGS
vvi,vvitsonday,whit,367,1450,PTH
wit,witsonda,whit,1410,1433,AGS
wit,witsonday,whit,741,1497,NRN
wyt,wytsonday,whit,244,1415,FIF
wyt,wytsonda,whit,1250,1471,FIF
quh,quhar,where,746,1482,MRY
quh,quhar,where,90,1442,BWK
quh,quhar,where,88,1443,FIF
quh,quhar,where,88,1443,FIF
quh,quhar,where,1839,1494,FIF
quh,quhar,where,786,1488,MLO
quh,quhar,where,789,1489,MLO
quh,quhar,where,815,1492,MLO
quh,quhar,where,818,1493,MLO
quh,quhar,where,818,1493,MLO
quh,quhar,where,442,1433,BWK
quh,quhar,where,439,1461,BWK
quh,quhar,where,713,1469,ABD
quh,quhar,where,1416,1450,AGS
quh,quhar,where,414,1480,XLC
quh,quhar,where,371,1455,XLC
quh,quhar,where,183,1492,XST
quh,quhar,where,179,1400,ABD
quh,quhar,where,179,1400,ABD
quh,quhar,where,176,1446,ABD
quh,quhar,where,176,1446,ABD
quh,quhar,where,341,1459,AGS
quh,quhar,where,205,1435,FIF
quh,quhar,where,118,1494,PTH
quh,quhar,where,106,1475,PTH
quh,quhar,where,265,1498,ROX
