sgds_point,id,a' c[h]as,a' chas b[h]eag,leis an [t-]sùil,f[h]ir bhig,a' chathair b[h]eag,an f[h]ir bhig,na balaich b[h]eaga,an t-sùil g[h]las,fhir b[h]ig,an [t-]sùil,an fhir b[h]ig,le sùil g[h]lais,fh[i]r bhig,[na] mnatha,[na] sùla glaise,[na] coise bige,an fh[i]r bhig,na [c]oise bige,na casan beag[a],fhir bh[i]g,na [mnatha],na cathraichean beag[a],[na] bà,an fhir bh[i]g,[na] cathrach bige,na balaich bheag[a],na sùla [g]laise,na sùilean glas[a],na [bà],na c[oi]se bige,na coise b[i]ge,nam [fear] beaga,na coise [b]ige,leis a' cho[i]s bhig,na cois[e] bige,don [bhoin],na cathrach b[i]ge,don [mhnaoi],na coise big[e],le c[oi]s bhig,na sùl[a] glaise,leis a' chois bh[i]g,leis an t-sùil g[h]lais,an [z]ùil ghlas,dà mhnaoi mhò[i]r,dà mhnaoi m[h]òir,le cois bh[i]g,na sùla gla[i]se,le sùil gla[i]s,leis an t-sùil ghla[i]s,na [cathrach] bige,na [sùla] glaise,dà [mhnaoi],nan [cas] beaga,nan [sùl] glas,district,township,total_1891,gaelic_1891,mono_1891,lat,lon,gender,yob,aggregate
Port of Ness,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,NA,0,0,1,1,0,1,NA,0,0,0,0,0,0,0,0,Lewis,Port of Ness,195,188,161,58.485015,-6.2394745,f,1922,29
Upper Shader,2,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,NA,0,0,0,0,0,0,Lewis,Upper Shader,207,181,93,58.395686,-6.4856591,m,1913,22
Bragar,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,Lewis,Bragar,652,381,264,58.327547,-6.6308872,m,1898,44
Carloway,4,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,NA,0,0,0,0,0,0,Lewis,Carloway,321,306,242,58.277151,-6.7779689,f,1892,27
Brenish,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,Lewis,Brenish,304,282,74,58.106276,-7.0987544,m,1910,38
North Tolsta,6,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,0,1,0,1,1,0,0,1,1,0,1,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,NA,0,1,1,0,1,0,NA,0,0,0,NA,0,0,0,Lewis,North Tolsta,597,559,431,58.341708,-6.2222637,m,1897,24
Lower Pabail,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,0,1,1,1,1,1,1,0,1,1,NA,0,1,0,0,1,0,0,0,1,0,0,0,0,NA,0,1,1,0,1,0,NA,0,0,0,NA,0,0,0,Lewis,Lower Pabail,481,446,254,58.19727,-6.2391481,m,1897,29
Leurbost,8,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Lewis,Leurbost,608,584,459,58.143078,-6.4657222,m,1929,25
Gravir,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,Lewis,Gravir,389,368,284,58.054495,-6.4424945,m,1896,41
Scarp,10,1,1,NA,NA,NA,1,1,1,NA,1,1,NA,NA,1,1,1,1,1,1,NA,1,0,1,1,NA,1,0,1,1,1,1,0,1,1,1,1,NA,0,1,1,0,1,NA,1,0,1,1,0,NA,NA,NA,0,0,0,0,Harris,Scarp,143,132,52,58.03024,-7.1355612,f,1904,31
